question_text,id
Как зарегистрироваться на сайте?,1
Как войти в личный кабинет?,2
Как восстановить пароль от аккаунта?,3
Где посмотреть каталог товаров?,4
Как подписаться на рассылку новостей?,5
Как узнать о новых поступлениях?,6
Есть ли у вас мобильное приложение?,7
Как связаться с поддержкой?,8
Какие способы оплаты доступны?,9
Как оставить отзыв о товаре?,10
Как выбрать размер одежды?,11
Где посмотреть описание товара?,12
Есть ли возможность примерить одежду перед покупкой?,13
Как добавить товар в корзину?,14
Как удалить товар из корзины?,15
Как изменить количество товара в корзине?,16
Есть ли скидки для новых покупателей?,17
"Как узнать, есть ли товар в наличии?",18
Как оформить заказ?,19
Можно ли заказать товар по телефону?,20
Какие способы доставки доступны?,21
Какой срок доставки заказа?,22
Есть ли бесплатная доставка?,23
Как отследить мой заказ?,24
Где посмотреть номер отслеживания?,25
Можно ли изменить адрес доставки после оформления заказа?,26
"Что делать, если курьер не нашел меня по адресу?",27
Как связаться с курьером?,28
Можно ли забрать заказ самостоятельно?,29
Есть ли доставка в мой город?,30
Какие способы оплаты доступны?,31
Можно ли оплатить заказ наличными при получении?,32
Есть ли рассрочка или кредит?,33
Как оплатить заказ банковской картой?,34
Безопасна ли оплата картой на сайте?,35
"Что делать, если оплата не прошла?",36
Можно ли изменить способ оплаты после оформления заказа?,37
Есть ли комиссия при оплате?,38
Как получить чек за покупку?,39
"Что делать, если я оплатил, но заказ не пришел?",40
Как оформить возврат товара?,41
Какие условия возврата?,42
В каком случае можно вернуть товар?,43
Как долго рассматривается возврат?,44
Как вернуть деньги за товар?,45
"Что делать, если товар поврежден или бракованный?",46
Есть ли возможность обмена товара?,47
Как оформить обмен?,48
Нужно ли сохранять упаковку для возврата?,49
Можно ли вернуть товар без чека?,50
Где найти таблицу размеров?,51
Как правильно измерить параметры для выбора размера?,52
"Что делать, если размер не подошел?",53
Есть ли рекомендации по выбору размера?,54
"Как узнать, какой размер у модели на фото?",55
Можно ли заказать индивидуальный пошив?,56
Как выбрать размер детской одежды?,57
Есть ли одежда больших размеров?,58
Как выбрать размер обуви?,59
"Что делать, если размер закончился?",60
Из каких материалов сделана одежда?,61
Как ухаживать за приобретенной одеждой?,62
Где посмотреть состав ткани?,63
Есть ли гипоаллергенная одежда?,64
Как проверить качество товара перед покупкой?,65
Есть ли одежда из экологически чистых материалов?,66
Можно ли стирать изделие в стиральной машине?,67
Есть ли рекомендации по глажке?,68
"Что делать, если ткань линяет?",69
Как определить подлинность бренда?,70
Есть ли у вас распродажи?,71
Как узнать о текущих акциях?,72
Есть ли скидки для постоянных клиентов?,73
Как получить промокод?,74
Где ввести промокод при оплате?,75
Есть ли скидки на первый заказ?,76
Как узнать о ближайших акциях?,77
Есть ли специальные предложения для студентов?,78
Как получить скидку на день рождения?,79
Есть ли кэшбэк за покупки?,80
Гарантируете ли вы качество товаров?,81
"Что делать, если товар не соответствует описанию?",82
Есть ли гарантия на одежду?,83
Как проверить подлинность товара?,84
Безопасно ли покупать на вашем сайте?,85
Как защищены мои персональные данные?,86
"Что делать, если товар вышел из строя?",87
Есть ли страховка на заказ?,88
Как узнать о гарантийных обязательствах?,89
"Что делать, если я получил не тот товар?",90
Есть ли услуга подбора стилиста?,91
Можно ли получить консультацию по выбору товара?,92
Есть ли возможность аренды одежды?,93
Можно ли заказать индивидуальный дизайн?,94
Есть ли подарочная упаковка?,95
Можно ли оформить подарочный сертификат?,96
Есть ли бонусная программа?,97
Можно ли получить помощь в подборе образа?,98
Есть ли возможность примерки на дому?,99
Как узнать больше о ваших услугах?,100
Есть ли ограничения по весу для доставки?,101
Можно ли заказать экспресс-доставку?,102
Как узнать стоимость доставки?,103
Есть ли доставка в выходные дни?,104
Принимаете ли вы возврат товара из других стран?,105
Можно ли заказать товар в подарок?,106
Есть ли ограничения на количество товаров в заказе?,107
Как узнать о наличии товара в других магазинах?,108
Можно ли заказать товар с предоплатой?,109
Есть ли возможность самовывоза?,110
Как узнать о статусе моего заказа?,111
"Что делать, если товар не пришел в срок?",112
Есть ли ограничения на возврат товара?,113
"Можно ли вернуть товар, если он не понравился?",114
Есть ли возможность обмена товара в другом городе?,115
Как узнать о гарантийном ремонте?,116
Есть ли возможность возврата товара без упаковки?,117
"Можно ли вернуть товар, если он был в использовании?",118
Есть ли ограничения по времени на возврат?,119
Как узнать о повторных акциях?,120
Есть ли скидки на коллекции прошлого сезона?,121
Можно ли получить скидку на крупный заказ?,122
Есть ли акции для групп покупателей?,123
Можно ли использовать несколько промокодов одновременно?,124
Как узнать о специальных предложениях?,125
Есть ли скидки для пенсионеров?,126
Можно ли получить скидку на повторный заказ?,127
Есть ли акции на детскую одежду?,128
Как узнать о распродажах со скидкой до 70%?,129
Есть ли скидки на аксессуары?,130
Какие материалы используются для производства одежды?,131
Есть ли одежда из натуральных тканей?,132
Как узнать о свойствах материалов?,133
Есть ли рекомендации по стирке деликатных тканей?,134
Как узнать о прочности ткани?,135
Есть ли одежда с водоотталкивающими свойствами?,136
Как узнать о гигиенических свойствах ткани?,137
Есть ли одежда с защитой от ультрафиолета?,138
Как узнать о терморегулирующих свойствах ткани?,139
Есть ли одежда с антибактериальной обработкой?,140
Как выбрать подходящий стиль одежды?,141
Есть ли рекомендации по выбору цвета?,142
"Как узнать о моделях, подходящих для моего типа фигуры?",143
Есть ли советы по выбору одежды для разных сезонов?,144
Как узнать о трендах текущего сезона?,145
Есть ли рекомендации по выбору одежды для офиса?,146
Как подобрать одежду для спорта?,147
Есть ли советы по выбору одежды для путешествий?,148
"Как узнать о моделях, подходящих для разных возрастов?",149
Есть ли рекомендации по выбору вечерней одежды?,150
Как узнать о наличии товара в других размерах?,151
Есть ли возможность заказать товар под заказ?,152
Как узнать о наличии товара в других цветах?,153
Есть ли возможность заказать товар из других стран?,154
Как узнать о наличии товара в других магазинах сети?,155
Какой у вас размерный ряд?,156
Как узнать свой размер?,157
Есть ли у вас размерная сетка?,158
Как измерить параметры тела для одежды?,159
Какие материалы используются в вашей одежде?,160
Есть ли у вас одежда из экологически чистых материалов?,161
Как выбрать размер платья?,162
Как выбрать размер джинсов?,163
Как выбрать размер обуви?,164
Есть ли у вас одежда больших размеров?,165
Есть ли у вас одежда для беременных?,166
Есть ли у вас детская одежда?,167
Какие у вас есть размеры для детей?,168
Есть ли у вас мужская одежда?,169
Есть ли у вас женская одежда?,170
Есть ли у вас унисекс одежда?,171
Как ухаживать за одеждой?,172
Можно ли стирать одежду в стиральной машине?,173
Как гладить одежду?,174
Какая у вас политика возврата?,175
Как вернуть товар?,176
Сколько времени занимает обработка возврата?,177
Как обменять товар?,178
Можно ли вернуть товар без чека?,179
Какие способы оплаты вы принимаете?,180
Можно ли оплатить заказ наложенным платежом?,181
Можно ли оплатить заказ картой?,182
Есть ли у вас рассрочка или кредит?,183
Какие у вас сроки доставки?,184
Сколько стоит доставка?,185
Есть ли бесплатная доставка?,186
Как отследить заказ?,187
"Что делать, если заказ не пришел?",188
Можно ли изменить адрес доставки после оформления заказа?,189
Какие страны вы обслуживаете?,190
Есть ли у вас примерочные пункты?,191
Можно ли примерить одежду перед покупкой?,192
Есть ли у вас акции или скидки?,193
Как узнать о текущих акциях?,194
Есть ли у вас бонусная программа?,195
Как накопить бонусы?,196
Как использовать бонусы?,197
Есть ли у вас подарочные сертификаты?,198
Как активировать подарочный сертификат?,199
"Можно ли заказать товар, которого нет в наличии?",200
"Как узнать, когда появится товар в наличии?",201
Есть ли у вас список ожидания на товары?,202
Можно ли заказать индивидуальный пошив одежды?,203
Как связаться с вашей службой поддержки?,204
Есть ли у вас онлайн-чат для консультаций?,205
Какие у вас часы работы?,206
Есть ли у вас мобильное приложение?,207
Как подписаться на рассылку новостей?,208
Как отписаться от рассылки?,209
Есть ли у вас социальные сети?,210
Как оставить отзыв о товаре?,211
Какова ваша политика конфиденциальности?,212
Как защищены мои данные?,213
Есть ли у вас программы лояльности?,214
Можно ли получить скидку за рекомендацию друга?,215
Как оформить заказ?,216
Можно ли изменить заказ после оформления?,217
Как отменить заказ?,218
Есть ли у вас ограничения на количество товара в заказе?,219
Можно ли заказать товар с доставкой в другую страну?,220
Есть ли у вас таможенные сборы для международных заказов?,221
Какие у вас гарантии на товар?,222
"Что делать, если товар оказался бракованным?",223
"Как узнать, качественный ли товар?",224
Есть ли у вас отзывы и рейтинги на товары?,225
Как связаться с продавцом товара?,226
Есть ли у вас чат с консультантом по стилю?,227
Можно ли получить совет по стилю от ваших специалистов?,228
Есть ли у вас услуга поиска похожих товаров?,229
Можно ли заказать товар с персонализацией?,230
Есть ли у вас ограничения на возврат персонализированных товаров?,231
"Как узнать, подойдет ли товар по стилю?",232
Есть ли у вас советы по комбинированию одежды?,233
Можно ли заказать комплект одежды?,234
Есть ли у вас услуга подбора гардероба?,235
"Как узнать, какие товары сейчас в тренде?",236
Есть ли у вас раздел с новинками?,237
Как часто вы обновляете ассортимент?,238
Есть ли у вас ограниченные коллекции?,239
Можно ли заказать товар из прошлых коллекций?,240
Есть ли у вас распродажи?,241
Когда следующая распродажа?,242
Какие у вас условия для оптовых заказов?,243
Можно ли заказать товар для перепродажи?,244
Есть ли у вас партнерская программа?,245
Как стать партнером вашего магазина?,246
Есть ли у вас условия для сотрудничества с блогерами?,247
Можно ли заказать одежду с логотипом компании?,248
Есть ли у вас услуга разработки дизайна одежды?,249
Можно ли заказать каталог товаров?,250
Есть ли у вас услуга срочной доставки?,251
Можно ли заказать доставку в выходные?,252
Есть ли у вас пункты самовывоза?,253
Как найти ближайший пункт самовывоза?,254
Какой у вас размерный ряд?,255
Как узнать свой размер?,256
Есть ли у вас размерная сетка?,257
Как измерить параметры тела для одежды?,258
Какие материалы используются в вашей одежде?,259
Есть ли у вас одежда из экологически чистых материалов?,260
Как выбрать размер платья?,261
Как выбрать размер джинсов?,262
Как выбрать размер обуви?,263
Есть ли у вас одежда больших размеров?,264
Есть ли у вас одежда для беременных?,265
Есть ли у вас детская одежда?,266
Какие у вас размеры для детей?,267
Есть ли у вас мужская одежда?,268
Есть ли у вас женская одежда?,269
Есть ли у вас унисекс одежда?,270
Как ухаживать за одеждой?,271
Можно ли стирать одежду в стиральной машине?,272
Как гладить одежду?,273
Какая у вас политика возврата?,274
Как вернуть товар?,275
Сколько времени занимает обработка возврата?,276
Как обменять товар?,277
Можно ли вернуть товар без чека?,278
Какие способы оплаты вы принимаете?,279
Можно ли оплатить заказ наложенным платежом?,280
Можно ли оплатить заказ картой?,281
Есть ли у вас рассрочка или кредит?,282
Какие у вас сроки доставки?,283
Сколько стоит доставка?,284
Есть ли бесплатная доставка?,285
Как отследить заказ?,286
"Что делать, если заказ не пришел?",287
Можно ли изменить адрес доставки после оформления заказа?,288
Какие страны вы обслуживаете?,289
Есть ли у вас примерочные пункты?,290
Можно ли примерить одежду перед покупкой?,291
Есть ли у вас акции или скидки?,292
Как узнать о текущих акциях?,293
Есть ли у вас бонусная программа?,294
Как накопить бонусы?,295
Как использовать бонусы?,296
Есть ли у вас подарочные сертификаты?,297
Как активировать подарочный сертификат?,298
"Можно ли заказать товар, которого нет в наличии?",299
"Как узнать, когда появится товар в наличии?",300
Есть ли у вас список ожидания на товары?,301
Можно ли заказать индивидуальный пошив одежды?,302
Как связаться с вашей службой поддержки?,303
Есть ли у вас онлайн-чат для консультаций?,304
Какие у вас часы работы?,305
Есть ли у вас мобильное приложение?,306
Как подписаться на рассылку новостей?,307
Как отписаться от рассылки?,308
Есть ли у вас социальные сети?,309
Как оставить отзыв о товаре?,310
Какова ваша политика конфиденциальности?,311
Как защищены мои данные?,312
Есть ли у вас программы лояльности?,313
Можно ли получить скидку за рекомендацию друга?,314
Как оформить заказ?,315
Можно ли изменить заказ после оформления?,316
Как отменить заказ?,317
Есть ли у вас ограничения на количество товара в заказе?,318
Можно ли заказать товар с доставкой в другую страну?,319
Есть ли у вас таможенные сборы для международных заказов?,320
Какие у вас гарантии на товар?,321
"Что делать, если товар оказался бракованным?",322
"Как узнать, качественный ли товар?",323
Есть ли у вас отзывы и рейтинги на товары?,324
Как связаться с продавцом товара?,325
Есть ли у вас чат с консультантом по стилю?,326
Можно ли получить совет по стилю от ваших специалистов?,327
Есть ли у вас услуга поиска похожих товаров?,328
Можно ли заказать товар с персонализацией?,329
Есть ли у вас ограничения на возврат персонализированных товаров?,330
"Как узнать, подойдет ли товар по стилю?",331
Есть ли у вас советы по комбинированию одежды?,332
Можно ли заказать комплект одежды?,333
Есть ли у вас услуга подбора гардероба?,334
"Как узнать, какие товары сейчас в тренде?",335
Есть ли у вас раздел с новинками?,336
Как часто вы обновляете ассортимент?,337
Есть ли у вас ограниченные коллекции?,338
Можно ли заказать товар из прошлых коллекций?,339
Есть ли у вас распродажи?,340
Когда следующая распродажа?,341
Какие у вас условия для оптовых заказов?,342
Можно ли заказать товар для перепродажи?,343
Есть ли у вас партнерская программа?,344
Как стать партнером вашего магазина?,345
Есть ли у вас условия для сотрудничества с блогерами?,346
Можно ли заказать одежду с логотипом компании?,347
Есть ли у вас услуга разработки дизайна одежды?,348
Можно ли заказать каталог товаров?,349
Есть ли у вас услуга срочной доставки?,350
Можно ли заказать доставку в выходные?,351
Есть ли у вас пункты самовывоза?,352
Как найти ближайший пункт самовывоза?,353
